,date,close,open,high,low,volume,keyword
700,2018-12-27,6230.0,6230.0,6270.0,6140.0,249960.0,신풍제약
699,2018-12-28,6410.0,6300.0,6450.0,6280.0,386430.0,신풍제약
695,2019-01-02,6260.0,6510.0,6520.0,6230.0,386770.0,신풍제약
694,2019-01-03,6170.0,6260.0,6330.0,6150.0,254562.0,신풍제약
693,2019-01-04,6840.0,6110.0,6850.0,6110.0,1526914.0,신풍제약
692,2019-01-07,7410.0,7190.0,7500.0,6970.0,2745330.0,신풍제약
691,2019-01-08,7200.0,7400.0,7500.0,7150.0,1304960.0,신풍제약
688,2019-01-09,7180.0,7330.0,7440.0,7070.0,1148289.0,신풍제약
687,2019-01-10,7110.0,7250.0,7290.0,7050.0,587843.0,신풍제약
686,2019-01-11,6960.0,7110.0,7340.0,6930.0,962123.0,신풍제약
685,2019-01-14,7020.0,7130.0,7170.0,6960.0,691723.0,신풍제약
684,2019-01-15,7130.0,7080.0,7280.0,7020.0,748516.0,신풍제약
680,2019-01-16,6930.0,7180.0,7190.0,6880.0,733148.0,신풍제약
679,2019-01-17,6740.0,6990.0,7140.0,6710.0,664731.0,신풍제약
678,2019-01-18,7040.0,6800.0,7040.0,6750.0,648865.0,신풍제약
677,2019-01-21,7030.0,7100.0,7160.0,6960.0,499354.0,신풍제약
676,2019-01-22,7210.0,7030.0,7340.0,7010.0,1136192.0,신풍제약
673,2019-01-23,7200.0,7170.0,7350.0,7090.0,951994.0,신풍제약
672,2019-01-24,7320.0,7200.0,7470.0,7110.0,1058231.0,신풍제약
671,2019-01-25,7180.0,7390.0,7420.0,7110.0,637994.0,신풍제약
670,2019-01-28,7390.0,7160.0,7390.0,7140.0,1038396.0,신풍제약
669,2019-01-29,7240.0,7420.0,7420.0,7150.0,603367.0,신풍제약
665,2019-01-30,7090.0,7240.0,7280.0,7080.0,569245.0,신풍제약
664,2019-01-31,7250.0,7100.0,7280.0,7090.0,777058.0,신풍제약
663,2019-02-01,7160.0,7240.0,7310.0,7130.0,390196.0,신풍제약
662,2019-02-07,7520.0,7210.0,7530.0,7140.0,1423624.0,신풍제약
661,2019-02-08,7690.0,7510.0,7770.0,7380.0,1543770.0,신풍제약
658,2019-02-11,8010.0,7780.0,8520.0,7760.0,4784465.0,신풍제약
657,2019-02-12,8050.0,8010.0,8160.0,7810.0,1281439.0,신풍제약
656,2019-02-13,8250.0,8100.0,8330.0,8090.0,1236254.0,신풍제약
655,2019-02-14,8180.0,8200.0,8340.0,8000.0,1098073.0,신풍제약
654,2019-02-15,8060.0,8120.0,8160.0,7950.0,779271.0,신풍제약
650,2019-02-18,8340.0,8110.0,8350.0,8040.0,1119750.0,신풍제약
649,2019-02-19,8220.0,8340.0,8350.0,8160.0,667848.0,신풍제약
648,2019-02-20,8070.0,8250.0,8250.0,8050.0,541539.0,신풍제약
647,2019-02-21,8040.0,8070.0,8190.0,8020.0,455981.0,신풍제약
646,2019-02-22,8100.0,8040.0,8120.0,7860.0,616709.0,신풍제약
643,2019-02-25,8030.0,8030.0,8140.0,8020.0,383469.0,신풍제약
642,2019-02-26,8010.0,8150.0,8160.0,8000.0,425920.0,신풍제약
641,2019-02-27,8200.0,8010.0,8210.0,8000.0,674044.0,신풍제약
640,2019-02-28,7920.0,8180.0,8530.0,7890.0,2088907.0,신풍제약
639,2019-03-04,8630.0,8200.0,8630.0,8190.0,1909844.0,신풍제약
635,2019-03-05,8470.0,8730.0,8740.0,8390.0,1174689.0,신풍제약
634,2019-03-06,8320.0,8520.0,8520.0,8170.0,820021.0,신풍제약
633,2019-03-07,8190.0,8270.0,8530.0,8140.0,884161.0,신풍제약
632,2019-03-08,8230.0,8140.0,8320.0,8050.0,581769.0,신풍제약
631,2019-03-11,8230.0,8260.0,8430.0,7910.0,1127776.0,신풍제약
628,2019-03-12,8180.0,8230.0,8320.0,8060.0,906586.0,신풍제약
627,2019-03-13,8460.0,8190.0,8530.0,8120.0,1768697.0,신풍제약
626,2019-03-14,8400.0,8460.0,8530.0,8320.0,683330.0,신풍제약
625,2019-03-15,8090.0,8370.0,8420.0,8090.0,937728.0,신풍제약
624,2019-03-18,7950.0,8100.0,8180.0,7920.0,962873.0,신풍제약
620,2019-03-19,7830.0,7990.0,8120.0,7800.0,862468.0,신풍제약
619,2019-03-20,7950.0,7860.0,8030.0,7540.0,1447828.0,신풍제약
618,2019-03-21,7820.0,7930.0,8050.0,7820.0,777577.0,신풍제약
617,2019-03-22,7760.0,8030.0,8070.0,7760.0,765165.0,신풍제약
616,2019-03-25,7650.0,7600.0,7750.0,7580.0,649134.0,신풍제약
613,2019-03-26,7650.0,7720.0,7760.0,7610.0,388246.0,신풍제약
612,2019-03-27,7430.0,7690.0,7710.0,7390.0,597979.0,신풍제약
611,2019-03-28,7190.0,7400.0,7550.0,7190.0,532384.0,신풍제약
610,2019-03-29,7330.0,7220.0,7610.0,7220.0,829715.0,신풍제약
609,2019-04-01,7740.0,7350.0,8360.0,7240.0,4925023.0,신풍제약
605,2019-04-02,7520.0,7740.0,7740.0,7520.0,858515.0,신풍제약
604,2019-04-03,7670.0,7490.0,7840.0,7440.0,1008645.0,신풍제약
603,2019-04-04,7650.0,7690.0,7770.0,7570.0,486177.0,신풍제약
602,2019-04-05,7750.0,7700.0,7890.0,7600.0,797174.0,신풍제약
601,2019-04-08,7750.0,7810.0,7950.0,7750.0,771823.0,신풍제약
598,2019-04-09,7700.0,7830.0,7860.0,7590.0,401663.0,신풍제약
597,2019-04-10,8070.0,7700.0,8090.0,7600.0,1599160.0,신풍제약
596,2019-04-11,7980.0,8080.0,8100.0,7920.0,620577.0,신풍제약
595,2019-04-12,7930.0,8050.0,8170.0,7920.0,886034.0,신풍제약
594,2019-04-15,7850.0,7930.0,7940.0,7780.0,467772.0,신풍제약
590,2019-04-16,7870.0,7900.0,7980.0,7830.0,421766.0,신풍제약
589,2019-04-17,7880.0,8000.0,8100.0,7870.0,873088.0,신풍제약
588,2019-04-18,7630.0,7850.0,7850.0,7600.0,536650.0,신풍제약
587,2019-04-19,7810.0,7740.0,7900.0,7670.0,467065.0,신풍제약
586,2019-04-22,8010.0,7830.0,8070.0,7760.0,812548.0,신풍제약
583,2019-04-23,7850.0,8040.0,8050.0,7840.0,348006.0,신풍제약
582,2019-04-24,7730.0,7920.0,7930.0,7720.0,305925.0,신풍제약
581,2019-04-25,7830.0,7910.0,8250.0,7800.0,1584429.0,신풍제약
580,2019-04-26,7580.0,7790.0,7810.0,7560.0,671952.0,신풍제약
579,2019-04-29,7620.0,7800.0,8030.0,7620.0,1573578.0,신풍제약
575,2019-04-30,8050.0,7620.0,8340.0,7610.0,4787042.0,신풍제약
574,2019-05-02,8020.0,8110.0,8180.0,7990.0,1131905.0,신풍제약
573,2019-05-03,8050.0,8040.0,8130.0,7870.0,764946.0,신풍제약
572,2019-05-07,7940.0,7980.0,8050.0,7880.0,556132.0,신풍제약
571,2019-05-08,7830.0,7870.0,7880.0,7750.0,507694.0,신풍제약
568,2019-05-09,7580.0,7850.0,7870.0,7500.0,857761.0,신풍제약
567,2019-05-10,7420.0,7510.0,7630.0,7320.0,572373.0,신풍제약
566,2019-05-13,7100.0,7390.0,7450.0,7100.0,584999.0,신풍제약
565,2019-05-14,7090.0,6950.0,7270.0,6930.0,440965.0,신풍제약
564,2019-05-15,7240.0,7120.0,7260.0,7120.0,264590.0,신풍제약
560,2019-05-16,7140.0,7290.0,7360.0,7110.0,227327.0,신풍제약
559,2019-05-17,7000.0,7180.0,7250.0,7000.0,338200.0,신풍제약
558,2019-05-20,6790.0,7000.0,7100.0,6780.0,400915.0,신풍제약
557,2019-05-21,6850.0,6730.0,6990.0,6730.0,283799.0,신풍제약
556,2019-05-22,6950.0,6890.0,7020.0,6860.0,191682.0,신풍제약
553,2019-05-23,6840.0,6950.0,6990.0,6830.0,196971.0,신풍제약
552,2019-05-24,6740.0,6760.0,6850.0,6720.0,277995.0,신풍제약
551,2019-05-27,6720.0,6750.0,6840.0,6680.0,234076.0,신풍제약
550,2019-05-28,7010.0,6730.0,7020.0,6730.0,324009.0,신풍제약
549,2019-05-29,6840.0,7000.0,7010.0,6810.0,223140.0,신풍제약
545,2019-05-30,6850.0,6810.0,6910.0,6770.0,180821.0,신풍제약
544,2019-05-31,6910.0,6820.0,6990.0,6820.0,165567.0,신풍제약
543,2019-06-03,6900.0,6970.0,6970.0,6820.0,129874.0,신풍제약
542,2019-06-04,6970.0,7040.0,7040.0,6910.0,217496.0,신풍제약
541,2019-06-05,6950.0,7060.0,7070.0,6940.0,154218.0,신풍제약
538,2019-06-07,7040.0,6960.0,7080.0,6960.0,117280.0,신풍제약
537,2019-06-10,7100.0,7070.0,7130.0,7040.0,175980.0,신풍제약
536,2019-06-11,7270.0,7090.0,7300.0,7090.0,242572.0,신풍제약
535,2019-06-12,7190.0,7280.0,7330.0,7110.0,222718.0,신풍제약
534,2019-06-13,7270.0,7170.0,7290.0,7140.0,177491.0,신풍제약
530,2019-06-14,7250.0,7270.0,7500.0,7190.0,497988.0,신풍제약
529,2019-06-17,7100.0,7210.0,7250.0,7090.0,184124.0,신풍제약
528,2019-06-18,7110.0,7100.0,7170.0,7040.0,153857.0,신풍제약
527,2019-06-19,7090.0,7130.0,7170.0,7010.0,309386.0,신풍제약
526,2019-06-20,7220.0,7100.0,7310.0,7090.0,217161.0,신풍제약
523,2019-06-21,7110.0,7220.0,7260.0,7110.0,155180.0,신풍제약
522,2019-06-24,7100.0,7090.0,7120.0,7030.0,183575.0,신풍제약
521,2019-06-25,6980.0,7070.0,7280.0,6980.0,417217.0,신풍제약
520,2019-06-26,7000.0,6980.0,7080.0,6970.0,177749.0,신풍제약
519,2019-06-27,6870.0,7050.0,7050.0,6860.0,272574.0,신풍제약
515,2019-06-28,6720.0,6830.0,6900.0,6720.0,228430.0,신풍제약
514,2019-07-01,6870.0,6720.0,6900.0,6720.0,158692.0,신풍제약
513,2019-07-02,6920.0,6800.0,6950.0,6800.0,122214.0,신풍제약
512,2019-07-03,6800.0,6920.0,6950.0,6770.0,197628.0,신풍제약
511,2019-07-04,6690.0,6790.0,6820.0,6530.0,310745.0,신풍제약
508,2019-07-05,6740.0,6620.0,6750.0,6620.0,113870.0,신풍제약
507,2019-07-08,6440.0,6690.0,6780.0,6440.0,223145.0,신풍제약
506,2019-07-09,6210.0,6400.0,6520.0,6210.0,241591.0,신풍제약
505,2019-07-10,6300.0,6170.0,6370.0,6170.0,126779.0,신풍제약
504,2019-07-11,6390.0,6300.0,6420.0,6280.0,113360.0,신풍제약
500,2019-07-12,6450.0,6390.0,6470.0,6380.0,79595.0,신풍제약
499,2019-07-15,6350.0,6400.0,6450.0,6310.0,114852.0,신풍제약
