,title
181,"'인간 중심의 AI'…삼성전자, 삼성AI포럼 2020 진행"
182,"승현준 삼성리서치 소장, “기업 연구 제약…오히려 창의력과 혁신의 원동력”"
183,"삼성 게이밍 모니터 '오디세이 G7', 美 온라인 IT 매체 평점 '만점' 받아"
184,두 번째 치러진 '온라인 삼성 고시'…상반기보다 원활
185,인사하는 삼성전자 노사 교섭위원
186,"삼성전자, 12일 중국서 모바일 AP 신제품 '엑시노스1080' 공개"
187,박수치는 나기홍 삼성전자 부사장
188,"삼성전자 노사 첫 상견례…""상생과 협력적인 노사관계 모델 만들길 기대"""
189,"G마켓·옥션, ‘빅스마일데이X삼성전자’ 행사 진행"
190,"삼성전자 노사 첫 상견례…""상생과 협력적인 노사관계 모델 만들길 기대"""
191,"G마켓·옥션, ‘빅스마일데이X삼성전자’ 행사 진행"
192,"삼성전자, '삼성 AI 포럼 2020' 2일차 온라인 진행"
193,"""회장님 뜻 계승, 업계 판도바꾸겠다"" 엄숙했던 삼성전자 창립기념일"
194,"""모든 기능 완벽"" 삼성전자 게이밍 모니터 오디세어 G7, 해외서 호평"
195,입장하는 삼성전자 사측 교섭위원들
196,박수치는 나기홍 삼성전자 부사장
197,"삼성 오디세이 G7, 美 유명 IT 매체 '탐스 하드웨어' 호평"
198,"삼성전자 노사, 첫 단체교섭… 51년 무노조 경영 마무리 수순"
199,"""이건희 회장 도전·혁신 DNA 계승해 100년 삼성으로""…삼성전자 51주년 창립..."
200,"삼성 오디세이 G7, 美 유명 IT 매체서 호평"
201,‘10년간 주식보유 1위’ 이건희 회장 사후 순위 변동은?…삼성家 1~4위
202,박수치는 삼성전자측
203,"삼성전자, 11월 2일부터 3일까지 제4회 '삼성 AI 포럼 2020' 개최"
204,한국 LCD 산업 발전 이끈 이상완 전 삼성전자 사장 별세
205,삼성전자 공동교섭단 첫 단체교섭 시작
206,"“기본 원칙 합의” 삼성전자 노조 공동교섭단, 단체교섭 상견례 마쳐"
